"nb_article" "article_ref" "site_nb" "site_ref" "country" "state" "town" "latitude" "longitude" "altitude" "WRB" "prof_max" "sampling_year" "natural_cultivated" "landuse" "modern_paleosol" "ecosystem" "level_top" "level_base" "support" "D14C" "D14C_sigma" "level_stock_kgm.2" "Tann" "Tjan" "TJul" "Pann" "Pjan" "PJul" "aridity" "D14Catm"
"85" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 0 10 "bulk after HCl" 100 "12" 2.28 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"86" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 10 20 "bulk after HCl" NA NA 1.85 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"87" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 20 30 "bulk after HCl" NA NA 1.96 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"88" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 30 40 "bulk after HCl" NA NA 1.69 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"89" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 40 50 "bulk after HCl" -97 "7" 1.38 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"90" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 50 60 "bulk after HCl" NA NA 1.35 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"91" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 60 70 "bulk after HCl" NA NA 1.11 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"92" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 70 80 "bulk after HCl" -213 "6" 1.18 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"93" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 80 90 "bulk after HCl" NA NA 1.17 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"94" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 90 100 "bulk after HCl" -257 "6" 1.34 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"95" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 100 110 "bulk after HCl" NA NA 1.13 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"96" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 110 120 "bulk after HCl" NA NA 0.99 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"97" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 120 130 "bulk after HCl" -493 "6" 0.99 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"98" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 130 140 "bulk after HCl" NA NA 1.02 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"99" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 140 150 "bulk after HCl" NA NA 1.12 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"100" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 150 160 "bulk after HCl" NA NA 1.21 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"101" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 160 170 "bulk after HCl" NA NA 1.19 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"102" 12 "Pessenda_1996b_Radiocarbon" 62 "Londrina" "Brazil" "state of Parana" "Londrina" -23.3 -51.17 575 "nitisol" "NA" 1991 "natural" "natural-forest" "modern soil" "forest" 170 180 "bulk after HCl" -687 "5" 1.27 20.9 23.8 16.9 1540.1 207.8 63.5 1.197 149.5
"103" 12 "Pessenda_1996b_Radiocarbon" 63 "Piracicaba" "Brazil" "state of Sao Paulo" "Piracicaba" -22.72 -47.63 545 "ferralsol" "NA" 1994 "natural" "natural-forest" "modern soil" "forest" 0 10 "bulk after HCl" 73 "8" 3.26 20.5 23.2 17.1 1269.9 241 25.4 0.999 121.9
"104" 12 "Pessenda_1996b_Radiocarbon" 63 "Piracicaba" "Brazil" "state of Sao Paulo" "Piracicaba" -22.72 -47.63 545 "ferralsol" "NA" 1994 "natural" "natural-forest" "modern soil" "forest" 10 20 "bulk after HCl" NA NA 2.15 20.5 23.2 17.1 1269.9 241 25.4 0.999 121.9
"105" 12 "Pessenda_1996b_Radiocarbon" 63 "Piracicaba" "Brazil" "state of Sao Paulo" "Piracicaba" -22.72 -47.63 545 "ferralsol" "NA" 1994 "natural" "natural-forest" "modern soil" "forest" 20 30 "bulk after HCl" NA NA 1.36 20.5 23.2 17.1 1269.9 241 25.4 0.999 121.9
"106" 12 "Pessenda_1996b_Radiocarbon" 63 "Piracicaba" "Brazil" "state of Sao Paulo" "Piracicaba" -22.72 -47.63 545 "ferralsol" "NA" 1994 "natural" "natural-forest" "modern soil" "forest" 30 40 "bulk after HCl" NA NA 1.11 20.5 23.2 17.1 1269.9 241 25.4 0.999 121.9
"107" 12 "Pessenda_1996b_Radiocarbon" 63 "Piracicaba" "Brazil" "state of Sao Paulo" "Piracicaba" -22.72 -47.63 545 "ferralsol" "NA" 1994 "natural" "natural-forest" "modern soil" "forest" 40 50 "bulk after HCl" -142 "10" 1.02 20.5 23.2 17.1 1269.9 241 25.4 0.999 121.9
"108" 12 "Pessenda_1996b_Radiocarbon" 63 "Piracicaba" "Brazil" "state of Sao Paulo" "Piracicaba" -22.72 -47.63 545 "ferralsol" "NA" 1994 "natural" "natural-forest" "modern soil" "forest" 50 60 "bulk after HCl" NA NA 0.89 20.5 23.2 17.1 1269.9 241 25.4 0.999 121.9
"109" 12 "Pessenda_1996b_Radiocarbon" 63 "Piracicaba" "Brazil" "state of Sao Paulo" "Piracicaba" -22.72 -47.63 545 "ferralsol" "NA" 1994 "natural" "natural-forest" "modern soil" "forest" 60 70 "bulk after HCl" NA NA 0.89 20.5 23.2 17.1 1269.9 241 25.4 0.999 121.9
"110" 12 "Pessenda_1996b_Radiocarbon" 63 "Piracicaba" "Brazil" "state of Sao Paulo" "Piracicaba" -22.72 -47.63 545 "ferralsol" "NA" 1994 "natural" "natural-forest" "modern soil" "forest" 70 80 "bulk after HCl" -284 "6" 0.9 20.5 23.2 17.1 1269.9 241 25.4 0.999 121.9
"111" 12 "Pessenda_1996b_Radiocarbon" 63 "Piracicaba" "Brazil" "state of Sao Paulo" "Piracicaba" -22.72 -47.63 545 "ferralsol" "NA" 1994 "natural" "natural-forest" "modern soil" "forest" 80 90 "bulk after HCl" NA NA 0.89 20.5 23.2 17.1 1269.9 241 25.4 0.999 121.9
